id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	323	418	1.8E-26	T	17-07-2024	IPR013783	Immunoglobulin-like fold	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00082	lrrct1	183	232	2.0E-5	T	17-07-2024	IPR000483	Cysteine-rich flanking region, C-terminal	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	ProSiteProfiles	PS50835	Ig-like domain profile.	419	505	14.709373	T	17-07-2024	IPR007110	Immunoglobulin-like domain	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SUPERFAMILY	SSF48726	Immunoglobulin	331	425	5.19E-26	T	17-07-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SUPERFAMILY	SSF48726	Immunoglobulin	413	507	6.19E-23	T	17-07-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00408	igc2_5	432	496	2.9E-16	T	17-07-2024	IPR003598	Immunoglobulin subtype 2	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00408	igc2_5	248	312	3.4E-6	T	17-07-2024	IPR003598	Immunoglobulin subtype 2	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00408	igc2_5	341	405	3.0E-13	T	17-07-2024	IPR003598	Immunoglobulin subtype 2	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00408	igc2_5	524	588	1.9E-12	T	17-07-2024	IPR003598	Immunoglobulin subtype 2	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	CDD	cd09826	peroxidasin_like	845	1285	0.0	T	17-07-2024	IPR034824	Peroxidasin, peroxidase domain	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	ProSiteProfiles	PS50184	VWFC domain profile.	1356	1412	9.761701	T	17-07-2024	IPR001007	VWFC domain	GO:0005515
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF07679	Immunoglobulin I-set domain	329	415	9.5E-20	T	17-07-2024	IPR013098	Immunoglobulin I-set	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF07679	Immunoglobulin I-set domain	419	506	3.8E-17	T	17-07-2024	IPR013098	Immunoglobulin I-set	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF07679	Immunoglobulin I-set domain	234	320	6.0E-13	T	17-07-2024	IPR013098	Immunoglobulin I-set	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF07679	Immunoglobulin I-set domain	512	598	8.7E-18	T	17-07-2024	IPR013098	Immunoglobulin I-set	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	FunFam	G3DSA:2.60.40.10:FF:000017	Down syndrome cell adhesion molecule b	510	599	2.0E-15	T	17-07-2024	-	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00214	vwc	1356	1411	3.4E-4	T	17-07-2024	IPR001007	VWFC domain	GO:0005515
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	FunFam	G3DSA:2.60.40.10:FF:000273	contactin-3 isoform X1	418	509	7.5E-20	T	17-07-2024	-	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	705	1298	5.2E-221	T	17-07-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
Xenia_sp_XP_046840172.1	f1fa7a839f592d48b9ba93e9ba174166	1412	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	606	1296	2.4E-251	T	17-07-2024	-	-
