id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	742	1333	8.6E-160	T	18-06-2024	-	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	842	1379	109.624428	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	PRINTS	PR00457	Animal haem peroxidase signature	1147	1157	1.1E-24	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	PRINTS	PR00457	Animal haem peroxidase signature	877	888	1.1E-24	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	PRINTS	PR00457	Animal haem peroxidase signature	1094	1120	1.1E-24	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	PRINTS	PR00457	Animal haem peroxidase signature	1051	1069	1.1E-24	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	PRINTS	PR00457	Animal haem peroxidase signature	1069	1089	1.1E-24	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	PRINTS	PR00457	Animal haem peroxidase signature	1267	1287	1.1E-24	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	PRINTS	PR00457	Animal haem peroxidase signature	921	936	1.1E-24	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF03098	Animal haem peroxidase	854	1357	1.9E-151	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Gene3D	G3DSA:2.60.40.3440	-	736	835	3.7E-13	T	18-06-2024	-	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF07593	ASPIC and UnbV	685	750	3.7E-10	T	18-06-2024	IPR011519	ASPIC/UnbV	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	226	662	1.92E-46	T	18-06-2024	IPR028994	Integrin alpha, N-terminal	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	852	1356	1.77E-149	T	18-06-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	836	1372	4.9E-166	T	18-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF13517	FG-GAP-like repeat	530	579	4.1E-7	T	18-06-2024	IPR013517	FG-GAP repeat	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF13517	FG-GAP-like repeat	285	354	8.8E-13	T	18-06-2024	IPR013517	FG-GAP repeat	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF13517	FG-GAP-like repeat	445	507	4.9E-12	T	18-06-2024	IPR013517	FG-GAP repeat	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Gene3D	G3DSA:2.130.10.130	-	221	371	5.7E-8	T	18-06-2024	IPR028994	Integrin alpha, N-terminal	-
N_vect_XP_001636873.3	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF17963	Bacterial Ig domain	767	824	5.4E-8	T	18-06-2024	-	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	SUPERFAMILY	SSF49313	Cadherin-like	201	326	1.43E-8	T	18-06-2024	IPR015919	Cadherin-like superfamily	GO:0005509|GO:0016020
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	Gene3D	G3DSA:2.60.120.970	-	1200	1406	3.4E-8	T	18-06-2024	-	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	Gene3D	G3DSA:2.60.40.60	Cadherins	198	302	8.5E-10	T	18-06-2024	-	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	SMART	SM00181	egf_5	156	193	6.2E-4	T	18-06-2024	IPR000742	EGF-like domain	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	FunFam	G3DSA:2.10.25.10:FF:000010	Pro-epidermal growth factor	154	194	2.3E-13	T	18-06-2024	-	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	CDD	cd00041	CUB	31	151	7.32647E-21	T	18-06-2024	IPR000859	CUB domain	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	ProSiteProfiles	PS50026	EGF-like domain profile.	153	193	9.594821	T	18-06-2024	IPR000742	EGF-like domain	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	ProSiteProfiles	PS01180	CUB domain profile.	26	152	19.310564	T	18-06-2024	IPR000859	CUB domain	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	Pfam	PF14670	Coagulation Factor Xa inhibitory site	157	192	6.3E-10	T	18-06-2024	-	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	SUPERFAMILY	SSF49854	Spermadhesin, CUB domain	32	151	3.66E-22	T	18-06-2024	IPR035914	Spermadhesin, CUB domain superfamily	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	CDD	cd00054	EGF_CA	153	193	2.12982E-9	T	18-06-2024	-	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	Pfam	PF00431	CUB domain	33	149	1.5E-18	T	18-06-2024	IPR000859	CUB domain	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	Pfam	PF03098	Animal haem peroxidase	533	1059	9.8E-170	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	Pfam	PF13330	Mucin-2 protein WxxW repeating region	1126	1180	1.7E-8	T	18-06-2024	IPR025155	WxxW domain	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	ProSitePatterns	PS01186	EGF-like domain signature 2.	177	192	-	T	18-06-2024	IPR000742	EGF-like domain	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	CDD	cd11304	Cadherin_repeat	206	297	3.88692E-10	T	18-06-2024	-	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	PRINTS	PR00457	Animal haem peroxidase signature	747	765	4.3E-32	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
N_vect_XP_032239295.2	a32a2cfabb2a0cf7995f21ec82670894	1409	PRINTS	PR00457	Animal haem peroxidase signature	839	849	4.3E-32	T	18-06-2024	IPR019791	Haem peroxidase, animal-type	-
