id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
P_dami_XP_027039774.1	71	149	1.4E-13	311e44e7e0f139042209bb251846ea43	703	Pfam	PF01822	WSC domain	T	IPR002889	Carbohydrate-binding WSC	-
P_dami_XP_027039774.1	68	159	9.225994	311e44e7e0f139042209bb251846ea43	703	ProSiteProfiles	PS51212	WSC domain profile.	T	IPR002889	Carbohydrate-binding WSC	-
P_dami_XP_027039774.1	68	159	8.0E-6	311e44e7e0f139042209bb251846ea43	703	SMART	SM00321	SLG 2	T	IPR002889	Carbohydrate-binding WSC	-
P_dami_XP_027039809.1	72	127	7.6E-7	12187a17902c3f75afa739154de61edd	705	Pfam	PF01822	WSC domain	T	IPR002889	Carbohydrate-binding WSC	-
P_dami_XP_027042014.1	666	791	4.07171E-19	df3eb6d9c4ce71728ab8681155cffaf2	803	CDD	cd00037	CLECT	T	-	-	nan
P_dami_XP_027042014.1	676	791	4.8E-7	df3eb6d9c4ce71728ab8681155cffaf2	803	Pfam	PF00059	Lectin C-type domain	T	IPR001304	C-type lectin-like	-
P_dami_XP_027042014.1	651	793	8.0E-22	df3eb6d9c4ce71728ab8681155cffaf2	803	Gene3D	G3DSA:3.10.100.10	-	T	IPR016186	C-type lectin-like/link domain superfamily	-
P_dami_XP_027042014.1	655	791	2.6E-18	df3eb6d9c4ce71728ab8681155cffaf2	803	SMART	SM00034	CLECT 2	T	IPR001304	C-type lectin-like	-
P_dami_XP_027042014.1	652	793	1.19E-23	df3eb6d9c4ce71728ab8681155cffaf2	803	SUPERFAMILY	SSF56436	C-type lectin-like	T	IPR016187	C-type lectin fold	-
P_dami_XP_027042014.1	662	791	14.2724	df3eb6d9c4ce71728ab8681155cffaf2	803	ProSiteProfiles	PS50041	C-type lectin domain profile.	T	IPR001304	C-type lectin-like	-
P_dami_XP_027043448.1	152	548	4.32E-50	8fdb1b2b24e67aba22291f2245f4b83d	1409	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
P_dami_XP_027043448.1	576	643	3.4E-14	8fdb1b2b24e67aba22291f2245f4b83d	1409	Pfam	PF07593	ASPIC and UnbV	T	IPR011519	ASPIC/UnbV	-
P_dami_XP_027043448.1	362	557	5.5E-7	8fdb1b2b24e67aba22291f2245f4b83d	1409	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
P_dami_XP_027043448.1	130	284	5.1E-9	8fdb1b2b24e67aba22291f2245f4b83d	1409	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
P_dami_XP_027043448.1	161	223	6.7E-15	8fdb1b2b24e67aba22291f2245f4b83d	1409	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
P_dami_XP_027043448.1	341	402	2.8E-10	8fdb1b2b24e67aba22291f2245f4b83d	1409	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
