id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	Gene3D	G3DSA:3.10.100.10	-	627	769	5.4E-22	T	02-05-2024	IPR016186	C-type lectin-like/link domain superfamily	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	CDD	cd09823	peroxinectin_like	180	574	3.55356E-152	T	02-05-2024	-	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	24	616	114.00061	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	SUPERFAMILY	SSF56436	C-type lectin-like	628	769	8.75E-24	T	02-05-2024	IPR016187	C-type lectin fold	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	Pfam	PF03098	Animal haem peroxidase	33	586	2.1E-145	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	ProSiteProfiles	PS50041	C-type lectin domain profile.	638	767	14.6564	T	02-05-2024	IPR001304	C-type lectin-like	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	Pfam	PF00059	Lectin C-type domain	652	767	7.4E-9	T	02-05-2024	IPR001304	C-type lectin-like	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	SMART	SM00034	CLECT_2	631	767	7.5E-19	T	02-05-2024	IPR001304	C-type lectin-like	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	CDD	cd00037	CLECT	641	767	2.54246E-18	T	02-05-2024	-	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	17	613	9.1E-159	T	02-05-2024	-	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	17	615	1.5E-150	T	02-05-2024	-	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	PRINTS	PR00457	Animal haem peroxidase signature	294	320	3.6E-33	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	PRINTS	PR00457	Animal haem peroxidase signature	562	576	3.6E-33	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	PRINTS	PR00457	Animal haem peroxidase signature	251	269	3.6E-33	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	PRINTS	PR00457	Animal haem peroxidase signature	488	508	3.6E-33	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	PRINTS	PR00457	Animal haem peroxidase signature	112	127	3.6E-33	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	PRINTS	PR00457	Animal haem peroxidase signature	269	289	3.6E-33	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	PRINTS	PR00457	Animal haem peroxidase signature	355	365	3.6E-33	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	15	617	1.3E-158	T	02-05-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
S_pist_XP_022781214.1	56fb33c325e4ba5651c8ee413082d119	779	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	31	614	4.94E-128	T	02-05-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
S_pist_XP_022781451.1	45c38f5133e4f0155fd9da5df3bbe9c5	213	Pfam	PF03098	Animal haem peroxidase	3	169	4.0E-50	T	02-05-2024	IPR019791	Haem peroxidase, animal-type	-
