id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	4	602	4.3E-158	T	29-04-2024	-	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	15	596	2.94E-137	T	29-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	CDD	cd09823	peroxinectin_like	166	565	4.5886E-160	T	29-04-2024	-	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	10	599	5.4E-172	T	29-04-2024	-	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	2	603	1.0E-166	T	29-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	PRINTS	PR00457	Animal haem peroxidase signature	338	348	2.8E-32	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	PRINTS	PR00457	Animal haem peroxidase signature	234	252	2.8E-32	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	PRINTS	PR00457	Animal haem peroxidase signature	252	272	2.8E-32	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	PRINTS	PR00457	Animal haem peroxidase signature	44	55	2.8E-32	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	PRINTS	PR00457	Animal haem peroxidase signature	277	303	2.8E-32	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	PRINTS	PR00457	Animal haem peroxidase signature	98	113	2.8E-32	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	PRINTS	PR00457	Animal haem peroxidase signature	553	567	2.8E-32	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	12	603	119.536301	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3014042.1	4b0e5932ccc8cacfeaac5b7e80aa4710	607	Pfam	PF03098	Animal haem peroxidase	20	573	4.9E-156	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF07593	ASPIC and UnbV	683	749	2.4E-8	T	29-04-2024	IPR011519	ASPIC/UnbV	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	825	1356	1.9E-157	T	29-04-2024	-	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	225	660	1.57E-48	T	29-04-2024	IPR028994	Integrin alpha, N-terminal	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	PRINTS	PR00457	Animal haem peroxidase signature	1268	1288	1.8E-22	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	PRINTS	PR00457	Animal haem peroxidase signature	919	934	1.8E-22	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	PRINTS	PR00457	Animal haem peroxidase signature	1147	1157	1.8E-22	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	PRINTS	PR00457	Animal haem peroxidase signature	1049	1067	1.8E-22	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	PRINTS	PR00457	Animal haem peroxidase signature	875	886	1.8E-22	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	PRINTS	PR00457	Animal haem peroxidase signature	1067	1087	1.8E-22	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	836	1369	6.9E-163	T	29-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF17963	Bacterial Ig domain	785	822	7.3E-6	T	29-04-2024	-	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Gene3D	G3DSA:2.130.10.130	-	435	584	2.5E-7	T	29-04-2024	IPR028994	Integrin alpha, N-terminal	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	840	1370	109.04467	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF13517	FG-GAP-like repeat	443	505	4.1E-14	T	29-04-2024	IPR013517	FG-GAP repeat	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF13517	FG-GAP-like repeat	230	294	5.2E-15	T	29-04-2024	IPR013517	FG-GAP repeat	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF13517	FG-GAP-like repeat	528	577	6.1E-7	T	29-04-2024	IPR013517	FG-GAP repeat	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	850	1358	1.01E-144	T	29-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Gene3D	G3DSA:2.130.10.130	-	220	369	1.2E-9	T	29-04-2024	IPR028994	Integrin alpha, N-terminal	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Gene3D	G3DSA:2.60.40.3440	-	746	835	4.1E-10	T	29-04-2024	-	-
P_ever_CAH3018368.1	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF03098	Animal haem peroxidase	853	1358	4.9E-147	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	70	654	78.897598	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	PRINTS	PR00457	Animal haem peroxidase signature	302	320	1.6E-20	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	PRINTS	PR00457	Animal haem peroxidase signature	405	415	1.6E-20	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	PRINTS	PR00457	Animal haem peroxidase signature	344	370	1.6E-20	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	PRINTS	PR00457	Animal haem peroxidase signature	163	178	1.6E-20	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	PRINTS	PR00457	Animal haem peroxidase signature	113	124	1.6E-20	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	PRINTS	PR00457	Animal haem peroxidase signature	537	557	1.6E-20	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	Pfam	PF03098	Animal haem peroxidase	105	563	8.5E-119	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	Pfam	PF03098	Animal haem peroxidase	1124	1348	4.3E-58	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	1118	1349	5.89E-51	T	29-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	104	563	3.9E-194	T	29-04-2024	-	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	1111	1350	7.3E-66	T	29-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	87	569	5.6E-125	T	29-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	94	565	8.12E-103	T	29-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
P_ever_CAH3028031.1	af5dfb4bae4958ad987fefc93b80f904	1356	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	1115	1356	46.880356	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	185	532	9.54E-86	T	29-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	MobiDBLite	mobidb-lite	consensus disorder prediction	528	557	-	T	29-04-2024	-	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	1	535	94.532188	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	MobiDBLite	mobidb-lite	consensus disorder prediction	543	557	-	T	29-04-2024	-	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	CDD	cd09823	peroxinectin_like	90	499	1.59542E-151	T	29-04-2024	-	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	2	165	1.2E-35	T	29-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	177	534	1.3E-104	T	29-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	PRINTS	PR00457	Animal haem peroxidase signature	219	245	1.8E-18	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	PRINTS	PR00457	Animal haem peroxidase signature	280	290	1.8E-18	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	PRINTS	PR00457	Animal haem peroxidase signature	487	501	1.8E-18	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	PRINTS	PR00457	Animal haem peroxidase signature	20	35	1.8E-18	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	PRINTS	PR00457	Animal haem peroxidase signature	407	427	1.8E-18	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	8	531	4.5E-146	T	29-04-2024	-	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	11	160	5.18E-29	T	29-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	Pfam	PF03098	Animal haem peroxidase	185	510	8.8E-97	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028033.1	c07710433450b13dacfedf9404bbfbd7	557	Pfam	PF03098	Animal haem peroxidase	11	160	4.4E-32	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028034.1	917ab5c0d85204db349cbfc0a5c51247	1614	CDD	cd09823	peroxinectin_like	249	646	1.86529E-150	T	29-04-2024	-	-
P_ever_CAH3028034.1	917ab5c0d85204db349cbfc0a5c51247	1614	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	868	1456	2.8E-169	T	29-04-2024	-	-
P_ever_CAH3028034.1	917ab5c0d85204db349cbfc0a5c51247	1614	PRINTS	PR00457	Animal haem peroxidase signature	421	431	9.8E-23	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028034.1	917ab5c0d85204db349cbfc0a5c51247	1614	PRINTS	PR00457	Animal haem peroxidase signature	129	140	9.8E-23	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028034.1	917ab5c0d85204db349cbfc0a5c51247	1614	PRINTS	PR00457	Animal haem peroxidase signature	360	386	9.8E-23	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028034.1	917ab5c0d85204db349cbfc0a5c51247	1614	PRINTS	PR00457	Animal haem peroxidase signature	318	336	9.8E-23	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028034.1	917ab5c0d85204db349cbfc0a5c51247	1614	PRINTS	PR00457	Animal haem peroxidase signature	179	194	9.8E-23	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_ever_CAH3028034.1	917ab5c0d85204db349cbfc0a5c51247	1614	PRINTS	PR00457	Animal haem peroxidase signature	634	648	9.8E-23	T	29-04-2024	IPR019791	Haem peroxidase, animal-type	-
