id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	108	815	4.8E-168	T	25-04-2024	-	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	234	816	2.35E-139	T	25-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	224	817	2.2E-162	T	25-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	227	817	2.5E-155	T	25-04-2024	-	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	231	819	112.747604	T	25-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	Pfam	PF03098	Animal haem peroxidase	240	794	7.6E-145	T	25-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	PRINTS	PR00457	Animal haem peroxidase signature	452	470	3.6E-25	T	25-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	PRINTS	PR00457	Animal haem peroxidase signature	494	520	3.6E-25	T	25-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	PRINTS	PR00457	Animal haem peroxidase signature	771	785	3.6E-25	T	25-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	PRINTS	PR00457	Animal haem peroxidase signature	314	329	3.6E-25	T	25-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_mill_XP_029185359.2	dff132f0558e0d63e22da5c901f7ceaf	829	PRINTS	PR00457	Animal haem peroxidase signature	555	565	3.6E-25	T	25-04-2024	IPR019791	Haem peroxidase, animal-type	-
