id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
A_cerv_KAK2551628.1	e56d27a68f87c16de671a2d8bbf7da70	123	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	1	119	7.5E-20	T	19-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
A_cerv_KAK2551628.1	e56d27a68f87c16de671a2d8bbf7da70	123	Pfam	PF03098	Animal haem peroxidase	3	116	4.2E-17	T	19-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_cerv_KAK2551628.1	e56d27a68f87c16de671a2d8bbf7da70	123	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	2	116	4.7E-17	T	19-04-2024	-	-
A_cerv_KAK2551628.1	e56d27a68f87c16de671a2d8bbf7da70	123	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	3	117	9.53E-16	T	19-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
A_cerv_KAK2551628.1	e56d27a68f87c16de671a2d8bbf7da70	123	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	1	123	11.796043	T	19-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	825	1352	7.7E-159	T	19-04-2024	-	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	Gene3D	G3DSA:2.130.10.130	-	428	580	8.8E-6	T	19-04-2024	IPR028994	Integrin alpha, N-terminal	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	846	1353	5.77E-148	T	19-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	Pfam	PF17963	Bacterial Ig domain	780	818	1.1E-6	T	19-04-2024	-	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	Gene3D	G3DSA:2.60.40.3440	-	742	830	2.2E-11	T	19-04-2024	-	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	Pfam	PF13517	FG-GAP-like repeat	439	501	8.8E-12	T	19-04-2024	IPR013517	FG-GAP repeat	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	Pfam	PF13517	FG-GAP-like repeat	526	573	1.9E-7	T	19-04-2024	IPR013517	FG-GAP repeat	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	Pfam	PF13517	FG-GAP-like repeat	226	290	1.5E-13	T	19-04-2024	IPR013517	FG-GAP repeat	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	Pfam	PF07593	ASPIC and UnbV	679	745	2.7E-10	T	19-04-2024	IPR011519	ASPIC/UnbV	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	837	1366	111.176666	T	19-04-2024	IPR019791	Haem peroxidase, animal-type	-
A_cerv_KAK2551719.1	617d5c57c36db907cfeb569e53b8a0ec	1366	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	218	656	4.53E-46	T	19-04-2024	IPR028994	Integrin alpha, N-terminal	-
