id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	30	582	3.3E-142	T	16-06-2024	-	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	FunFam	G3DSA:2.40.30.10:FF:000059	dual oxidase isoform X1	1218	1316	5.6E-45	T	16-06-2024	-	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	ProSiteProfiles	PS51384	Ferredoxin reductase-type FAD binding domain profile.	1215	1320	12.597133	T	16-06-2024	IPR017927	FAD-binding domain, ferredoxin reductase-type	GO:0016491
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	CDD	cd06186	NOX_Duox_like_FAD_NADP	1226	1404	9.3048E-45	T	16-06-2024	-	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Gene3D	G3DSA:2.40.30.10	Translation factors	1217	1316	2.5E-8	T	16-06-2024	-	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	PRINTS	PR00457	Animal haem peroxidase signature	233	251	3.0E-17	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	PRINTS	PR00457	Animal haem peroxidase signature	98	113	3.0E-17	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	PRINTS	PR00457	Animal haem peroxidase signature	325	335	3.0E-17	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	PRINTS	PR00457	Animal haem peroxidase signature	276	302	3.0E-17	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	PRINTS	PR00457	Animal haem peroxidase signature	251	271	3.0E-17	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	PRINTS	PR00457	Animal haem peroxidase signature	54	65	3.0E-17	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF00036	EF hand	858	885	5.0E-6	T	16-06-2024	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF00036	EF hand	822	844	2.5E-7	T	16-06-2024	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Gene3D	G3DSA:1.10.238.10	-	787	935	8.0E-29	T	16-06-2024	-	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	CDD	cd00051	EFh	857	928	5.55655E-6	T	16-06-2024	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	866	878	-	T	16-06-2024	IPR018247	EF-Hand 1, calcium-binding site	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	FunFam	G3DSA:1.10.640.10:FF:000008	Dual oxidase 1	18	575	7.0E-295	T	16-06-2024	-	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	FunFam	G3DSA:3.40.50.80:FF:000020	Dual oxidase 1	1317	1498	1.5E-109	T	16-06-2024	-	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	30	565	3.65E-154	T	16-06-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF03098	Animal haem peroxidase	31	552	1.8E-158	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	SFLD	SFLDG01169	NADPH oxidase subgroup (NOX)	27	1498	0.0	T	16-06-2024	-	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	SMART	SM00054	efh_1	857	885	3.8E-5	T	16-06-2024	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	SMART	SM00054	efh_1	821	849	3.2E-6	T	16-06-2024	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF08030	Ferric reductase NAD binding domain	1324	1479	6.8E-25	T	16-06-2024	IPR013121	Ferric reductase, NAD binding domain	GO:0016491
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	830	842	-	T	16-06-2024	IPR018247	EF-Hand 1, calcium-binding site	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF01794	Ferric reductase like transmembrane component	1043	1180	3.7E-19	T	16-06-2024	IPR013130	Ferric reductase transmembrane component-like domain	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	SUPERFAMILY	SSF52343	Ferredoxin reductase-like, C-terminal NADP-linked domain	1327	1484	3.36E-11	T	16-06-2024	IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	CDD	cd00051	EFh	822	883	1.32744E-15	T	16-06-2024	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	17	572	3.3E-158	T	16-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Gene3D	G3DSA:3.40.50.80	-	1317	1498	7.2E-47	T	16-06-2024	IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	853	888	14.764463	T	16-06-2024	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	SUPERFAMILY	SSF47473	EF-hand	804	930	1.28E-28	T	16-06-2024	IPR011992	EF-hand domain pair	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	18	575	111.569397	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	SUPERFAMILY	SSF63380	Riboflavin synthase domain-like	1218	1316	2.0E-12	T	16-06-2024	IPR017938	Riboflavin synthase-like beta-barrel	-
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	817	852	13.704439	T	16-06-2024	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF08022	FAD-binding domain	1223	1315	1.1E-16	T	16-06-2024	IPR013112	FAD-binding 8	GO:0016491
A_tumida_XP_019867920.2	ab19938d2dae047c559f064407edbb98	1499	CDD	cd09820	dual_peroxidase_like	33	586	0.0	T	16-06-2024	IPR034821	Dual oxidase, peroxidase domain	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	132	799	5.5E-210	T	16-06-2024	-	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	Pfam	PF03098	Animal haem peroxidase	230	772	6.0E-182	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	216	800	6.1E-213	T	16-06-2024	-	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	220	800	143.437012	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	216	800	4.2E-191	T	16-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	CDD	cd09823	peroxinectin_like	385	758	0.0	T	16-06-2024	-	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	MobiDBLite	mobidb-lite	consensus disorder prediction	27	51	-	T	16-06-2024	-	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	PRINTS	PR00457	Animal haem peroxidase signature	492	518	2.9E-41	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	PRINTS	PR00457	Animal haem peroxidase signature	670	690	2.9E-41	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	PRINTS	PR00457	Animal haem peroxidase signature	553	563	2.9E-41	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	PRINTS	PR00457	Animal haem peroxidase signature	746	760	2.9E-41	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	PRINTS	PR00457	Animal haem peroxidase signature	449	467	2.9E-41	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
A_tumida_XP_019868210.2	10629335fbd6e02efe5a3c571c63314d	800	PRINTS	PR00457	Animal haem peroxidase signature	467	487	2.9E-41	T	16-06-2024	IPR019791	Haem peroxidase, animal-type	-
