id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
C_virg_XP_022289630.1	766	798	-	c1f4a30c876ea47cbcdfd07260cdb430	825	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022289630.1	70	90	-	c1f4a30c876ea47cbcdfd07260cdb430	825	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022291683.1	73	93	-	edc9bbda6336936303f6897f31d4ad60	837	Coils	Coil	Coil	T	-	-	nan
C_virg_XP_022293504.1	805	844	-	98620c5583426380195b46cc6bbf7395	844	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022293504.1	741	767	-	98620c5583426380195b46cc6bbf7395	844	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022293504.1	789	804	-	98620c5583426380195b46cc6bbf7395	844	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022293504.1	743	757	-	98620c5583426380195b46cc6bbf7395	844	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022293504.1	780	844	-	98620c5583426380195b46cc6bbf7395	844	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022293705.1	26	59	-	d0fed6a6744bebc5c8c9d37d247ff5d9	840	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022293705.1	32	59	-	d0fed6a6744bebc5c8c9d37d247ff5d9	840	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
C_virg_XP_022293705.1	69	89	-	d0fed6a6744bebc5c8c9d37d247ff5d9	840	Coils	Coil	Coil	T	-	-	nan
C_virg_XP_022314516.1	1377	1433	1.2E-6	422a3d86a15ef1462013206cbbe3ea38	1433	SMART	SM00214	vwc	T	IPR001007	VWFC domain	GO:0005515
C_virg_XP_022314516.1	394	480	14.201181	422a3d86a15ef1462013206cbbe3ea38	1433	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
C_virg_XP_022314516.1	210	297	9.73E-19	422a3d86a15ef1462013206cbbe3ea38	1433	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
C_virg_XP_022314516.1	302	391	8.5E-22	422a3d86a15ef1462013206cbbe3ea38	1433	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
C_virg_XP_022314516.1	22	209	3.2E-49	422a3d86a15ef1462013206cbbe3ea38	1433	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	T	IPR032675	Leucine-rich repeat domain superfamily	-
C_virg_XP_022314516.1	54	112	5.9E-14	422a3d86a15ef1462013206cbbe3ea38	1433	Pfam	PF13855	Leucine rich repeat	T	IPR001611	Leucine-rich repeat	GO:0005515
C_virg_XP_022314516.1	101	122	7.819765	422a3d86a15ef1462013206cbbe3ea38	1433	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	T	IPR001611	Leucine-rich repeat	GO:0005515
C_virg_XP_022314516.1	1369	1433	3.0E-8	422a3d86a15ef1462013206cbbe3ea38	1433	Gene3D	G3DSA:6.20.200.20	-	T	-	-	nan
C_virg_XP_022314516.1	210	302	2.4E-21	422a3d86a15ef1462013206cbbe3ea38	1433	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
C_virg_XP_022314516.1	1375	1433	3.56E-10	422a3d86a15ef1462013206cbbe3ea38	1433	SUPERFAMILY	SSF57603	FnI-like domain	T	-	-	nan
C_virg_XP_022314516.1	400	482	4.7E-13	422a3d86a15ef1462013206cbbe3ea38	1433	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
C_virg_XP_022314516.1	309	390	3.9E-14	422a3d86a15ef1462013206cbbe3ea38	1433	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
C_virg_XP_022314516.1	492	572	0.0095	422a3d86a15ef1462013206cbbe3ea38	1433	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
C_virg_XP_022314516.1	216	299	1.5E-7	422a3d86a15ef1462013206cbbe3ea38	1433	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
C_virg_XP_022314516.1	1396	1433	-	422a3d86a15ef1462013206cbbe3ea38	1433	ProSitePatterns	PS01208	VWFC domain signature.	T	IPR001007	VWFC domain	GO:0005515
