id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	CDD	cd09822	peroxinectin_like_bacterial	474	944	0.0	T	27-04-2024	-	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	428	957	3.0E-156	T	27-04-2024	-	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	18	218	6.02E-27	T	27-04-2024	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	414	966	6.2E-170	T	27-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	Pfam	PF13517	FG-GAP-like repeat	29	90	1.4E-13	T	27-04-2024	IPR013517	FG-GAP repeat	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	424	970	121.107246	T	27-04-2024	IPR019791	Haem peroxidase, animal-type	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	Gene3D	G3DSA:2.130.10.130	-	5	162	1.3E-9	T	27-04-2024	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	PRINTS	PR00457	Animal haem peroxidase signature	653	673	3.5E-34	T	27-04-2024	IPR019791	Haem peroxidase, animal-type	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	PRINTS	PR00457	Animal haem peroxidase signature	678	704	3.5E-34	T	27-04-2024	IPR019791	Haem peroxidase, animal-type	-
O_fave_XP_020605845.1	fe63eac866af338e58db1000b00dc8ec	1019	PRINTS	PR00457	Animal haem peroxidase signature	457	468	3.5E-34	T	27-04-2024	IPR019791	Haem peroxidase, animal-type	-
