id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
N_vect_XP_001636873.3	736	835	3.7E-13	60b2763f7050ec3a8ded1a38ec3ec696	1379	Gene3D	G3DSA:2.60.40.3440	-	T	-	-	nan
N_vect_XP_001636873.3	685	750	3.7E-10	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF07593	ASPIC and UnbV	T	IPR011519	ASPIC/UnbV	-
N_vect_XP_001636873.3	226	662	1.92E-46	60b2763f7050ec3a8ded1a38ec3ec696	1379	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
N_vect_XP_001636873.3	530	579	4.1E-7	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
N_vect_XP_001636873.3	285	354	8.8E-13	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
N_vect_XP_001636873.3	445	507	4.9E-12	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
N_vect_XP_001636873.3	221	371	5.7E-8	60b2763f7050ec3a8ded1a38ec3ec696	1379	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
N_vect_XP_001636873.3	767	824	5.4E-8	60b2763f7050ec3a8ded1a38ec3ec696	1379	Pfam	PF17963	Bacterial Ig domain	T	-	-	nan
N_vect_XP_032239295.2	201	326	1.43E-8	a32a2cfabb2a0cf7995f21ec82670894	1409	SUPERFAMILY	SSF49313	Cadherin-like	T	IPR015919	Cadherin-like superfamily	GO:0005509|GO:0016020
N_vect_XP_032239295.2	1200	1406	3.4E-8	a32a2cfabb2a0cf7995f21ec82670894	1409	Gene3D	G3DSA:2.60.120.970	-	T	-	-	nan
N_vect_XP_032239295.2	198	302	8.5E-10	a32a2cfabb2a0cf7995f21ec82670894	1409	Gene3D	G3DSA:2.60.40.60	Cadherins	T	-	-	nan
N_vect_XP_032239295.2	156	193	6.2E-4	a32a2cfabb2a0cf7995f21ec82670894	1409	SMART	SM00181	egf 5	T	IPR000742	EGF-like domain	-
N_vect_XP_032239295.2	154	194	2.3E-13	a32a2cfabb2a0cf7995f21ec82670894	1409	FunFam	G3DSA:2.10.25.10:FF:000010	Pro-epidermal growth factor	T	-	-	nan
N_vect_XP_032239295.2	31	151	7.32647E-21	a32a2cfabb2a0cf7995f21ec82670894	1409	CDD	cd00041	CUB	T	IPR000859	CUB domain	-
N_vect_XP_032239295.2	153	193	9.594821	a32a2cfabb2a0cf7995f21ec82670894	1409	ProSiteProfiles	PS50026	EGF-like domain profile.	T	IPR000742	EGF-like domain	-
