id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
Xenia_sp_XP_046840172.1	323	418	1.8E-26	f1fa7a839f592d48b9ba93e9ba174166	1412	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
Xenia_sp_XP_046840172.1	183	232	2.0E-5	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00082	lrrct1	T	IPR000483	Cysteine-rich flanking region, C-terminal	-
Xenia_sp_XP_046840172.1	419	505	14.709373	f1fa7a839f592d48b9ba93e9ba174166	1412	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
Xenia_sp_XP_046840172.1	331	425	5.19E-26	f1fa7a839f592d48b9ba93e9ba174166	1412	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
Xenia_sp_XP_046840172.1	413	507	6.19E-23	f1fa7a839f592d48b9ba93e9ba174166	1412	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
Xenia_sp_XP_046840172.1	432	496	2.9E-16	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
Xenia_sp_XP_046840172.1	248	312	3.4E-6	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
Xenia_sp_XP_046840172.1	341	405	3.0E-13	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
Xenia_sp_XP_046840172.1	524	588	1.9E-12	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
Xenia_sp_XP_046840172.1	1356	1412	9.761701	f1fa7a839f592d48b9ba93e9ba174166	1412	ProSiteProfiles	PS50184	VWFC domain profile.	T	IPR001007	VWFC domain	GO:0005515
Xenia_sp_XP_046840172.1	329	415	9.5E-20	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF07679	Immunoglobulin I-set domain	T	IPR013098	Immunoglobulin I-set	-
Xenia_sp_XP_046840172.1	419	506	3.8E-17	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF07679	Immunoglobulin I-set domain	T	IPR013098	Immunoglobulin I-set	-
Xenia_sp_XP_046840172.1	234	320	6.0E-13	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF07679	Immunoglobulin I-set domain	T	IPR013098	Immunoglobulin I-set	-
Xenia_sp_XP_046840172.1	512	598	8.7E-18	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF07679	Immunoglobulin I-set domain	T	IPR013098	Immunoglobulin I-set	-
Xenia_sp_XP_046840172.1	510	599	2.0E-15	f1fa7a839f592d48b9ba93e9ba174166	1412	FunFam	G3DSA:2.60.40.10:FF:000017	Down syndrome cell adhesion molecule b	T	-	-	nan
Xenia_sp_XP_046840172.1	1356	1411	3.4E-4	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00214	vwc	T	IPR001007	VWFC domain	GO:0005515
Xenia_sp_XP_046840172.1	418	509	7.5E-20	f1fa7a839f592d48b9ba93e9ba174166	1412	FunFam	G3DSA:2.60.40.10:FF:000273	contactin-3 isoform X1	T	-	-	nan
Xenia_sp_XP_046840172.1	102	161	6.3E-16	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF13855	Leucine rich repeat	T	IPR001611	Leucine-rich repeat	GO:0005515
Xenia_sp_XP_046840172.1	23	231	3.23E-36	f1fa7a839f592d48b9ba93e9ba174166	1412	SUPERFAMILY	SSF52058	L domain-like	T	-	-	nan
Xenia_sp_XP_046840172.1	1356	1411	7.3E-7	f1fa7a839f592d48b9ba93e9ba174166	1412	Pfam	PF00093	von Willebrand factor type C domain	T	IPR001007	VWFC domain	GO:0005515
Xenia_sp_XP_046840172.1	419	508	5.2E-21	f1fa7a839f592d48b9ba93e9ba174166	1412	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
Xenia_sp_XP_046840172.1	234	321	10.916086	f1fa7a839f592d48b9ba93e9ba174166	1412	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
Xenia_sp_XP_046840172.1	1350	1412	2.3E-7	f1fa7a839f592d48b9ba93e9ba174166	1412	Gene3D	G3DSA:6.20.200.20	-	T	-	-	nan
Xenia_sp_XP_046840172.1	148	171	4.9	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
Xenia_sp_XP_046840172.1	76	99	0.0094	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
Xenia_sp_XP_046840172.1	124	147	1.1	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
Xenia_sp_XP_046840172.1	56	75	210.0	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
Xenia_sp_XP_046840172.1	100	123	0.068	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
Xenia_sp_XP_046840172.1	172	195	360.0	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
Xenia_sp_XP_046840172.1	506	599	2.41E-21	f1fa7a839f592d48b9ba93e9ba174166	1412	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
Xenia_sp_XP_046840172.1	426	507	1.7E-11	f1fa7a839f592d48b9ba93e9ba174166	1412	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
