id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
O_fave_XP_020605845.1	18	218	6.02E-27	fe63eac866af338e58db1000b00dc8ec	1019	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605845.1	29	90	1.4E-13	fe63eac866af338e58db1000b00dc8ec	1019	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020605845.1	5	162	1.3E-9	fe63eac866af338e58db1000b00dc8ec	1019	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605845.1	253	319	5.5E-15	fe63eac866af338e58db1000b00dc8ec	1019	Pfam	PF07593	ASPIC and UnbV	T	IPR011519	ASPIC/UnbV	-
O_fave_XP_020605853.1	376	396	-	5eebb00cdbc00d39a9c9c30a94c8f2c0	482	Coils	Coil	Coil	T	-	-	nan
O_fave_XP_020605865.1	496	799	8.63E-32	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605865.1	130	283	3.1E-9	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605865.1	311	408	5.2E-6	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605865.1	616	841	2.9E-9	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605865.1	146	542	1.44E-49	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605865.1	409	615	2.8E-5	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020605865.1	672	719	1.2E-7	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020605865.1	415	462	1.2E-7	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020605865.1	336	396	1.5E-11	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020605865.1	593	653	1.5E-11	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020605865.1	156	218	6.3E-15	5b98e14a6f31cc27d8cc1442ac2e1db0	1375	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020616187.1	67	160	7.876255	e4af6c4a84fe99ed99fb587349cb87c3	716	ProSiteProfiles	PS51212	WSC domain profile.	T	IPR002889	Carbohydrate-binding WSC	-
O_fave_XP_020616189.1	67	160	7.876255	e4af6c4a84fe99ed99fb587349cb87c3	716	ProSiteProfiles	PS51212	WSC domain profile.	T	IPR002889	Carbohydrate-binding WSC	-
O_fave_XP_020616190.1	67	158	0.0021	f7962741d59b83c92edeaa9454e93df7	703	SMART	SM00321	SLG 2	T	IPR002889	Carbohydrate-binding WSC	-
O_fave_XP_020616190.1	67	158	8.787381	f7962741d59b83c92edeaa9454e93df7	703	ProSiteProfiles	PS51212	WSC domain profile.	T	IPR002889	Carbohydrate-binding WSC	-
O_fave_XP_020616190.1	70	148	1.0E-12	f7962741d59b83c92edeaa9454e93df7	703	Pfam	PF01822	WSC domain	T	IPR002889	Carbohydrate-binding WSC	-
O_fave_XP_020616191.1	67	158	0.0021	f7962741d59b83c92edeaa9454e93df7	703	SMART	SM00321	SLG 2	T	IPR002889	Carbohydrate-binding WSC	-
O_fave_XP_020616191.1	67	158	8.787381	f7962741d59b83c92edeaa9454e93df7	703	ProSiteProfiles	PS51212	WSC domain profile.	T	IPR002889	Carbohydrate-binding WSC	-
O_fave_XP_020616191.1	70	148	1.0E-12	f7962741d59b83c92edeaa9454e93df7	703	Pfam	PF01822	WSC domain	T	IPR002889	Carbohydrate-binding WSC	-
O_fave_XP_020623163.1	223	360	5.9E-10	3544b5684b27c7f6dcbf332d046b9f58	1373	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020623163.1	233	297	4.7E-16	3544b5684b27c7f6dcbf332d046b9f58	1373	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020623163.1	446	508	2.9E-12	3544b5684b27c7f6dcbf332d046b9f58	1373	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020623163.1	532	580	2.6E-7	3544b5684b27c7f6dcbf332d046b9f58	1373	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020623163.1	787	825	3.6E-7	3544b5684b27c7f6dcbf332d046b9f58	1373	Pfam	PF17963	Bacterial Ig domain	T	-	-	nan
O_fave_XP_020623163.1	738	838	1.2E-11	3544b5684b27c7f6dcbf332d046b9f58	1373	Gene3D	G3DSA:2.60.40.3440	-	T	-	-	nan
O_fave_XP_020623163.1	438	591	7.4E-6	3544b5684b27c7f6dcbf332d046b9f58	1373	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020623163.1	686	750	1.1E-9	3544b5684b27c7f6dcbf332d046b9f58	1373	Pfam	PF07593	ASPIC and UnbV	T	IPR011519	ASPIC/UnbV	-
O_fave_XP_020623163.1	227	663	1.31E-49	3544b5684b27c7f6dcbf332d046b9f58	1373	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020623164.1	685	749	1.1E-9	df9fb58a63b5839e42424541025e5f26	1372	Pfam	PF07593	ASPIC and UnbV	T	IPR011519	ASPIC/UnbV	-
O_fave_XP_020623164.1	786	824	3.6E-7	df9fb58a63b5839e42424541025e5f26	1372	Pfam	PF17963	Bacterial Ig domain	T	-	-	nan
O_fave_XP_020623164.1	226	662	1.48E-49	df9fb58a63b5839e42424541025e5f26	1372	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020623164.1	232	296	4.7E-16	df9fb58a63b5839e42424541025e5f26	1372	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020623164.1	531	579	2.6E-7	df9fb58a63b5839e42424541025e5f26	1372	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020623164.1	445	507	2.9E-12	df9fb58a63b5839e42424541025e5f26	1372	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
O_fave_XP_020623164.1	222	359	5.9E-10	df9fb58a63b5839e42424541025e5f26	1372	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020623164.1	737	837	1.2E-11	df9fb58a63b5839e42424541025e5f26	1372	Gene3D	G3DSA:2.60.40.3440	-	T	-	-	nan
O_fave_XP_020623164.1	437	586	1.4E-5	df9fb58a63b5839e42424541025e5f26	1372	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
O_fave_XP_020623593.1	38	61	-	b8542f21b8e0ea95d932f3565c6b6d96	795	Coils	Coil	Coil	T	-	-	nan
O_fave_XP_020624234.1	33	147	1.1E-20	2117a9c9d95b334938c90a2818734cb3	1425	Pfam	PF00431	CUB domain	T	IPR000859	CUB domain	-
O_fave_XP_020624234.1	151	176	-	2117a9c9d95b334938c90a2818734cb3	1425	ProSitePatterns	PS01187	Calcium-binding EGF-like domain signature.	T	IPR018097	EGF-like calcium-binding, conserved site	GO:0005509
O_fave_XP_020624234.1	155	191	2.0E-8	2117a9c9d95b334938c90a2818734cb3	1425	Pfam	PF14670	Coagulation Factor Xa inhibitory site	T	-	-	nan
O_fave_XP_020624234.1	25	150	7.1E-25	2117a9c9d95b334938c90a2818734cb3	1425	Gene3D	G3DSA:2.60.120.290	Spermadhesin, CUB domain	T	IPR035914	Spermadhesin, CUB domain superfamily	-
O_fave_XP_020624234.1	200	306	10.659466	2117a9c9d95b334938c90a2818734cb3	1425	ProSiteProfiles	PS50268	Cadherins domain profile.	T	IPR002126	Cadherin-like	GO:0005509|GO:0007156|GO:0016020
O_fave_XP_020624234.1	1210	1424	6.0E-13	2117a9c9d95b334938c90a2818734cb3	1425	Gene3D	G3DSA:2.60.120.970	-	T	-	-	nan
O_fave_XP_020624234.1	150	192	2.03E-11	2117a9c9d95b334938c90a2818734cb3	1425	SUPERFAMILY	SSF57196	EGF/Laminin	T	-	-	nan
O_fave_XP_020624234.1	1232	1397	7.9E-8	2117a9c9d95b334938c90a2818734cb3	1425	Pfam	PF00688	TGF-beta propeptide	T	IPR001111	TGF-beta, propeptide	-
O_fave_XP_020624234.1	204	295	3.35717E-12	2117a9c9d95b334938c90a2818734cb3	1425	CDD	cd11304	Cadherin repeat	T	-	-	nan
O_fave_XP_020624234.1	316	422	7.50594E-11	2117a9c9d95b334938c90a2818734cb3	1425	CDD	cd11304	Cadherin repeat	T	-	-	nan
O_fave_XP_020624234.1	27	150	22.305275	2117a9c9d95b334938c90a2818734cb3	1425	ProSiteProfiles	PS01180	CUB domain profile.	T	IPR000859	CUB domain	-
O_fave_XP_020624234.1	176	191	-	2117a9c9d95b334938c90a2818734cb3	1425	ProSitePatterns	PS01186	EGF-like domain signature 2.	T	IPR000742	EGF-like domain	-
O_fave_XP_020624234.1	27	148	1.57E-24	2117a9c9d95b334938c90a2818734cb3	1425	SUPERFAMILY	SSF49854	Spermadhesin, CUB domain	T	IPR035914	Spermadhesin, CUB domain superfamily	-
O_fave_XP_020624234.1	152	192	2.7E-15	2117a9c9d95b334938c90a2818734cb3	1425	Gene3D	G3DSA:2.10.25.10	Laminin	T	-	-	nan
O_fave_XP_020624234.1	155	194	8.4E-12	2117a9c9d95b334938c90a2818734cb3	1425	FunFam	G3DSA:2.10.25.10:FF:000240	Vitamin K-dependent protein S	T	-	-	nan
O_fave_XP_020624234.1	151	192	9.40837	2117a9c9d95b334938c90a2818734cb3	1425	ProSiteProfiles	PS50026	EGF-like domain profile.	T	IPR000742	EGF-like domain	-
O_fave_XP_020624234.1	312	415	3.0E-8	2117a9c9d95b334938c90a2818734cb3	1425	SUPERFAMILY	SSF49313	Cadherin-like	T	IPR015919	Cadherin-like superfamily	GO:0005509|GO:0016020
O_fave_XP_020624234.1	27	147	3.53286E-27	2117a9c9d95b334938c90a2818734cb3	1425	CDD	cd00041	CUB	T	IPR000859	CUB domain	-
O_fave_XP_020624234.1	27	150	2.0E-29	2117a9c9d95b334938c90a2818734cb3	1425	SMART	SM00042	CUB 2	T	IPR000859	CUB domain	-
O_fave_XP_020624234.1	154	192	4.9E-5	2117a9c9d95b334938c90a2818734cb3	1425	SMART	SM00181	egf 5	T	IPR000742	EGF-like domain	-
O_fave_XP_020624234.1	167	178	-	2117a9c9d95b334938c90a2818734cb3	1425	ProSitePatterns	PS00010	Aspartic acid and asparagine hydroxylation site.	T	IPR000152	EGF-type aspartate/asparagine hydroxylation site	-
O_fave_XP_020624234.1	442	463	-	2117a9c9d95b334938c90a2818734cb3	1425	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
O_fave_XP_020624234.1	197	303	7.2E-11	2117a9c9d95b334938c90a2818734cb3	1425	Gene3D	G3DSA:2.60.40.60	Cadherins	T	-	-	nan
O_fave_XP_020624234.1	438	466	-	2117a9c9d95b334938c90a2818734cb3	1425	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
O_fave_XP_020624234.1	1138	1195	1.7E-10	2117a9c9d95b334938c90a2818734cb3	1425	Pfam	PF13330	Mucin-2 protein WxxW repeating region	T	IPR025155	WxxW domain	-
O_fave_XP_020624234.1	151	192	8.17234E-12	2117a9c9d95b334938c90a2818734cb3	1425	CDD	cd00054	EGF CA	T	-	-	nan
O_fave_XP_020624234.1	311	421	5.4E-9	2117a9c9d95b334938c90a2818734cb3	1425	Gene3D	G3DSA:2.60.40.60	Cadherins	T	-	-	nan
O_fave_XP_020624234.1	199	294	2.28E-8	2117a9c9d95b334938c90a2818734cb3	1425	SUPERFAMILY	SSF49313	Cadherin-like	T	IPR015919	Cadherin-like superfamily	GO:0005509|GO:0016020
O_fave_XP_020624234.1	151	192	1.1E-11	2117a9c9d95b334938c90a2818734cb3	1425	SMART	SM00179	egfca 6	T	IPR001881	EGF-like calcium-binding domain	GO:0005509
O_fave_XP_020624242.1	33	147	1.1E-20	10cb87659ed1f5c663eb8d3d2287c03e	1424	Pfam	PF00431	CUB domain	T	IPR000859	CUB domain	-
O_fave_XP_020624242.1	151	176	-	10cb87659ed1f5c663eb8d3d2287c03e	1424	ProSitePatterns	PS01187	Calcium-binding EGF-like domain signature.	T	IPR018097	EGF-like calcium-binding, conserved site	GO:0005509
O_fave_XP_020624242.1	155	191	2.0E-8	10cb87659ed1f5c663eb8d3d2287c03e	1424	Pfam	PF14670	Coagulation Factor Xa inhibitory site	T	-	-	nan
O_fave_XP_020624242.1	25	150	7.0E-25	10cb87659ed1f5c663eb8d3d2287c03e	1424	Gene3D	G3DSA:2.60.120.290	Spermadhesin, CUB domain	T	IPR035914	Spermadhesin, CUB domain superfamily	-
O_fave_XP_020624242.1	200	306	10.659466	10cb87659ed1f5c663eb8d3d2287c03e	1424	ProSiteProfiles	PS50268	Cadherins domain profile.	T	IPR002126	Cadherin-like	GO:0005509|GO:0007156|GO:0016020
O_fave_XP_020624242.1	197	303	7.2E-11	10cb87659ed1f5c663eb8d3d2287c03e	1424	Gene3D	G3DSA:2.60.40.60	Cadherins	T	-	-	nan
O_fave_XP_020624242.1	150	192	2.03E-11	10cb87659ed1f5c663eb8d3d2287c03e	1424	SUPERFAMILY	SSF57196	EGF/Laminin	T	-	-	nan
O_fave_XP_020624242.1	204	295	3.35474E-12	10cb87659ed1f5c663eb8d3d2287c03e	1424	CDD	cd11304	Cadherin repeat	T	-	-	nan
O_fave_XP_020624242.1	1231	1396	7.9E-8	10cb87659ed1f5c663eb8d3d2287c03e	1424	Pfam	PF00688	TGF-beta propeptide	T	IPR001111	TGF-beta, propeptide	-
O_fave_XP_020624242.1	316	422	7.5005E-11	10cb87659ed1f5c663eb8d3d2287c03e	1424	CDD	cd11304	Cadherin repeat	T	-	-	nan
O_fave_XP_020624242.1	27	150	22.305275	10cb87659ed1f5c663eb8d3d2287c03e	1424	ProSiteProfiles	PS01180	CUB domain profile.	T	IPR000859	CUB domain	-
O_fave_XP_020624242.1	176	191	-	10cb87659ed1f5c663eb8d3d2287c03e	1424	ProSitePatterns	PS01186	EGF-like domain signature 2.	T	IPR000742	EGF-like domain	-
O_fave_XP_020624242.1	27	148	1.57E-24	10cb87659ed1f5c663eb8d3d2287c03e	1424	SUPERFAMILY	SSF49854	Spermadhesin, CUB domain	T	IPR035914	Spermadhesin, CUB domain superfamily	-
O_fave_XP_020624242.1	152	192	2.7E-15	10cb87659ed1f5c663eb8d3d2287c03e	1424	Gene3D	G3DSA:2.10.25.10	Laminin	T	-	-	nan
O_fave_XP_020624242.1	155	194	8.4E-12	10cb87659ed1f5c663eb8d3d2287c03e	1424	FunFam	G3DSA:2.10.25.10:FF:000240	Vitamin K-dependent protein S	T	-	-	nan
O_fave_XP_020624242.1	151	192	9.40837	10cb87659ed1f5c663eb8d3d2287c03e	1424	ProSiteProfiles	PS50026	EGF-like domain profile.	T	IPR000742	EGF-like domain	-
O_fave_XP_020624242.1	312	415	3.0E-8	10cb87659ed1f5c663eb8d3d2287c03e	1424	SUPERFAMILY	SSF49313	Cadherin-like	T	IPR015919	Cadherin-like superfamily	GO:0005509|GO:0016020
O_fave_XP_020624242.1	27	147	3.63461E-27	10cb87659ed1f5c663eb8d3d2287c03e	1424	CDD	cd00041	CUB	T	IPR000859	CUB domain	-
O_fave_XP_020624242.1	27	150	2.0E-29	10cb87659ed1f5c663eb8d3d2287c03e	1424	SMART	SM00042	CUB 2	T	IPR000859	CUB domain	-
O_fave_XP_020624242.1	1209	1423	6.0E-13	10cb87659ed1f5c663eb8d3d2287c03e	1424	Gene3D	G3DSA:2.60.120.970	-	T	-	-	nan
O_fave_XP_020624242.1	154	192	4.9E-5	10cb87659ed1f5c663eb8d3d2287c03e	1424	SMART	SM00181	egf 5	T	IPR000742	EGF-like domain	-
O_fave_XP_020624242.1	167	178	-	10cb87659ed1f5c663eb8d3d2287c03e	1424	ProSitePatterns	PS00010	Aspartic acid and asparagine hydroxylation site.	T	IPR000152	EGF-type aspartate/asparagine hydroxylation site	-
O_fave_XP_020624242.1	442	463	-	10cb87659ed1f5c663eb8d3d2287c03e	1424	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
O_fave_XP_020624242.1	438	466	-	10cb87659ed1f5c663eb8d3d2287c03e	1424	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
O_fave_XP_020624242.1	1137	1194	1.7E-10	10cb87659ed1f5c663eb8d3d2287c03e	1424	Pfam	PF13330	Mucin-2 protein WxxW repeating region	T	IPR025155	WxxW domain	-
O_fave_XP_020624242.1	151	192	8.24683E-12	10cb87659ed1f5c663eb8d3d2287c03e	1424	CDD	cd00054	EGF CA	T	-	-	nan
O_fave_XP_020624242.1	311	421	5.4E-9	10cb87659ed1f5c663eb8d3d2287c03e	1424	Gene3D	G3DSA:2.60.40.60	Cadherins	T	-	-	nan
O_fave_XP_020624242.1	199	294	2.28E-8	10cb87659ed1f5c663eb8d3d2287c03e	1424	SUPERFAMILY	SSF49313	Cadherin-like	T	IPR015919	Cadherin-like superfamily	GO:0005509|GO:0016020
O_fave_XP_020624242.1	151	192	1.1E-11	10cb87659ed1f5c663eb8d3d2287c03e	1424	SMART	SM00179	egfca 6	T	IPR001881	EGF-like calcium-binding domain	GO:0005509
O_fave_XP_020629673.1	1203	1265	1.2E-6	d57e749ab7789bd888da0312ad634022	1266	Gene3D	G3DSA:6.20.200.20	-	T	-	-	nan
O_fave_XP_020629673.1	200	291	2.1E-24	d57e749ab7789bd888da0312ad634022	1266	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
O_fave_XP_020629673.1	109	200	2.7E-20	d57e749ab7789bd888da0312ad634022	1266	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
O_fave_XP_020629673.1	17	106	1.19E-21	d57e749ab7789bd888da0312ad634022	1266	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
O_fave_XP_020629673.1	294	388	2.3E-30	d57e749ab7789bd888da0312ad634022	1266	FunFam	G3DSA:2.60.40.10:FF:000248	peroxidasin homolog	T	-	-	nan
O_fave_XP_020629673.1	1213	1264	1.4E-7	d57e749ab7789bd888da0312ad634022	1266	Pfam	PF00093	von Willebrand factor type C domain	T	IPR001007	VWFC domain	GO:0005515
O_fave_XP_020629673.1	203	293	2.2E-29	d57e749ab7789bd888da0312ad634022	1266	FunFam	G3DSA:2.60.40.10:FF:000282	peroxidasin homolog	T	-	-	nan
O_fave_XP_020629673.1	1207	1265	6.28E-10	d57e749ab7789bd888da0312ad634022	1266	SUPERFAMILY	SSF57603	FnI-like domain	T	-	-	nan
O_fave_XP_020629673.1	1160	1194	-	d57e749ab7789bd888da0312ad634022	1266	Coils	Coil	Coil	T	-	-	nan
O_fave_XP_020629673.1	19	105	13.565941	d57e749ab7789bd888da0312ad634022	1266	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
O_fave_XP_020629673.1	204	289	14.437128	d57e749ab7789bd888da0312ad634022	1266	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
O_fave_XP_020629673.1	118	210	2.12E-23	d57e749ab7789bd888da0312ad634022	1266	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
O_fave_XP_020629673.1	109	202	1.1E-14	d57e749ab7789bd888da0312ad634022	1266	FunFam	G3DSA:2.60.40.10:FF:000032	palladin isoform X1	T	-	-	nan
O_fave_XP_020629673.1	113	199	13.130348	d57e749ab7789bd888da0312ad634022	1266	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
O_fave_XP_020629673.1	296	381	14.981619	d57e749ab7789bd888da0312ad634022	1266	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
O_fave_XP_020629673.1	126	190	9.5E-12	d57e749ab7789bd888da0312ad634022	1266	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
O_fave_XP_020629673.1	32	96	1.1E-15	d57e749ab7789bd888da0312ad634022	1266	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
O_fave_XP_020629673.1	216	280	3.4E-13	d57e749ab7789bd888da0312ad634022	1266	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
O_fave_XP_020629673.1	308	372	2.9E-15	d57e749ab7789bd888da0312ad634022	1266	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
O_fave_XP_020629673.1	17	108	6.3E-22	d57e749ab7789bd888da0312ad634022	1266	FunFam	G3DSA:2.60.40.10:FF:000273	contactin-3 isoform X1	T	-	-	nan
O_fave_XP_020629673.1	1228	1264	-	d57e749ab7789bd888da0312ad634022	1266	ProSitePatterns	PS01208	VWFC domain signature.	T	IPR001007	VWFC domain	GO:0005515
O_fave_XP_020629673.1	15	107	1.5E-22	d57e749ab7789bd888da0312ad634022	1266	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
