id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
S_pist_XP_022781214.1	627	769	5.4E-22	56fb33c325e4ba5651c8ee413082d119	779	Gene3D	G3DSA:3.10.100.10	-	T	IPR016186	C-type lectin-like/link domain superfamily	-
S_pist_XP_022781214.1	628	769	8.75E-24	56fb33c325e4ba5651c8ee413082d119	779	SUPERFAMILY	SSF56436	C-type lectin-like	T	IPR016187	C-type lectin fold	-
S_pist_XP_022781214.1	638	767	14.6564	56fb33c325e4ba5651c8ee413082d119	779	ProSiteProfiles	PS50041	C-type lectin domain profile.	T	IPR001304	C-type lectin-like	-
S_pist_XP_022781214.1	652	767	7.4E-9	56fb33c325e4ba5651c8ee413082d119	779	Pfam	PF00059	Lectin C-type domain	T	IPR001304	C-type lectin-like	-
S_pist_XP_022781214.1	631	767	7.5E-19	56fb33c325e4ba5651c8ee413082d119	779	SMART	SM00034	CLECT 2	T	IPR001304	C-type lectin-like	-
S_pist_XP_022781214.1	641	767	2.54246E-18	56fb33c325e4ba5651c8ee413082d119	779	CDD	cd00037	CLECT	T	-	-	nan
S_pist_XP_022783992.1	71	149	5.1E-13	ee452d244f266ddb204cd3542f6cd54a	703	Pfam	PF01822	WSC domain	T	IPR002889	Carbohydrate-binding WSC	-
S_pist_XP_022783992.1	703	703	-	ee452d244f266ddb204cd3542f6cd54a	703	Coils	Coil	Coil	T	-	-	nan
S_pist_XP_022783992.1	68	159	9.418814	ee452d244f266ddb204cd3542f6cd54a	703	ProSiteProfiles	PS51212	WSC domain profile.	T	IPR002889	Carbohydrate-binding WSC	-
S_pist_XP_022783992.1	68	159	6.7E-8	ee452d244f266ddb204cd3542f6cd54a	703	SMART	SM00321	SLG 2	T	IPR002889	Carbohydrate-binding WSC	-
S_pist_XP_022784016.1	71	124	9.9E-8	73ba7842ad593f594c34cea2120fbfe4	705	Pfam	PF01822	WSC domain	T	IPR002889	Carbohydrate-binding WSC	-
S_pist_XP_022794429.1	777	833	3.3E-8	70a73da28aedb80ba6e1c8c3aac975ca	1368	Pfam	PF17892	Cadherin-like domain	T	IPR041690	Cadherin-like domain	-
S_pist_XP_022794429.1	441	502	1.3E-11	70a73da28aedb80ba6e1c8c3aac975ca	1368	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
S_pist_XP_022794429.1	528	575	6.8E-7	70a73da28aedb80ba6e1c8c3aac975ca	1368	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
S_pist_XP_022794429.1	228	292	9.2E-15	70a73da28aedb80ba6e1c8c3aac975ca	1368	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
S_pist_XP_022794429.1	219	658	3.92E-44	70a73da28aedb80ba6e1c8c3aac975ca	1368	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
S_pist_XP_022794429.1	681	748	1.9E-9	70a73da28aedb80ba6e1c8c3aac975ca	1368	Pfam	PF07593	ASPIC and UnbV	T	IPR011519	ASPIC/UnbV	-
S_pist_XP_022794429.1	218	365	3.8E-8	70a73da28aedb80ba6e1c8c3aac975ca	1368	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
S_pist_XP_022794429.1	735	833	6.0E-13	70a73da28aedb80ba6e1c8c3aac975ca	1368	Gene3D	G3DSA:2.60.40.3440	-	T	-	-	nan
S_pist_XP_022794429.1	433	579	1.8E-5	70a73da28aedb80ba6e1c8c3aac975ca	1368	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
S_pist_XP_022794431.1	776	832	3.3E-8	374c2e7985a00076b01f6133fc8da302	1367	Pfam	PF17892	Cadherin-like domain	T	IPR041690	Cadherin-like domain	-
S_pist_XP_022794431.1	217	364	3.8E-8	374c2e7985a00076b01f6133fc8da302	1367	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
S_pist_XP_022794431.1	222	351	5.36E-22	374c2e7985a00076b01f6133fc8da302	1367	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
S_pist_XP_022794431.1	227	291	9.2E-15	374c2e7985a00076b01f6133fc8da302	1367	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
S_pist_XP_022794431.1	527	574	6.8E-7	374c2e7985a00076b01f6133fc8da302	1367	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
S_pist_XP_022794431.1	440	501	1.3E-11	374c2e7985a00076b01f6133fc8da302	1367	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
