id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	Pfam	PF01822	WSC domain	71	149	1.4E-13	T	28-04-2024	IPR002889	Carbohydrate-binding WSC	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	ProSiteProfiles	PS51212	WSC domain profile.	68	159	9.225994	T	28-04-2024	IPR002889	Carbohydrate-binding WSC	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	158	703	70.332237	T	28-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	168	689	4.59E-121	T	28-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	Pfam	PF03098	Animal haem peroxidase	169	685	3.2E-120	T	28-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	SMART	SM00321	SLG_2	68	159	8.0E-6	T	28-04-2024	IPR002889	Carbohydrate-binding WSC	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	CDD	cd09818	PIOX_like	169	701	0.0	T	28-04-2024	IPR034815	Alpha-dioxygenase	GO:0016491
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	PRINTS	PR00457	Animal haem peroxidase signature	360	380	5.8E-9	T	28-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	PRINTS	PR00457	Animal haem peroxidase signature	233	248	5.8E-9	T	28-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	PRINTS	PR00457	Animal haem peroxidase signature	385	411	5.8E-9	T	28-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	PANTHER	PTHR11903	PROSTAGLANDIN G/H SYNTHASE	157	702	2.8E-141	T	28-04-2024	-	-
P_dami_XP_027039774.1	311e44e7e0f139042209bb251846ea43	703	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	126	703	6.8E-156	T	28-04-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
P_dami_XP_027039809.1	12187a17902c3f75afa739154de61edd	705	PRINTS	PR00457	Animal haem peroxidase signature	373	399	1.0E-6	T	28-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_dami_XP_027039809.1	12187a17902c3f75afa739154de61edd	705	PRINTS	PR00457	Animal haem peroxidase signature	348	368	1.0E-6	T	28-04-2024	IPR019791	Haem peroxidase, animal-type	-
P_dami_XP_027039809.1	12187a17902c3f75afa739154de61edd	705	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	152	692	1.77E-124	T	28-04-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
