id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
D_pert_KAJ7333671.1	31	50	-	f979f76e03cde6edb2472ab0be15fa30	250	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
D_pert_KAJ7333671.1	34	50	-	f979f76e03cde6edb2472ab0be15fa30	250	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
D_pert_KAJ7333691.1	228	323	5.0E-27	d9fd790b6fafb2c84e4d8ec9a2270f18	660	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
D_pert_KAJ7333691.1	228	360	1.0E-82	d9fd790b6fafb2c84e4d8ec9a2270f18	660	PANTHER	PTHR10075	BASIGIN RELATED	T	IPR043204	Basigin-like	GO:0005515|GO:0005886|GO:0007155|GO:0007411
D_pert_KAJ7333691.1	137	227	3.9E-23	d9fd790b6fafb2c84e4d8ec9a2270f18	660	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
D_pert_KAJ7333691.1	151	215	3.7E-14	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
D_pert_KAJ7333691.1	243	307	6.0E-16	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
D_pert_KAJ7333691.1	61	125	3.7E-14	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
D_pert_KAJ7333691.1	43	137	1.5E-15	d9fd790b6fafb2c84e4d8ec9a2270f18	660	FunFam	G3DSA:2.60.40.10:FF:000032	palladin isoform X1	T	-	-	nan
D_pert_KAJ7333691.1	229	323	9.0E-32	d9fd790b6fafb2c84e4d8ec9a2270f18	660	FunFam	G3DSA:2.60.40.10:FF:000248	peroxidasin homolog	T	-	-	nan
D_pert_KAJ7333691.1	54	135	2.0E-15	d9fd790b6fafb2c84e4d8ec9a2270f18	660	Pfam	PF07679	Immunoglobulin I-set domain	T	IPR013098	Immunoglobulin I-set	-
D_pert_KAJ7333691.1	231	317	1.0E-21	d9fd790b6fafb2c84e4d8ec9a2270f18	660	Pfam	PF07679	Immunoglobulin I-set domain	T	IPR013098	Immunoglobulin I-set	-
D_pert_KAJ7333691.1	139	225	1.2E-17	d9fd790b6fafb2c84e4d8ec9a2270f18	660	Pfam	PF07679	Immunoglobulin I-set domain	T	IPR013098	Immunoglobulin I-set	-
D_pert_KAJ7333691.1	138	228	6.9E-29	d9fd790b6fafb2c84e4d8ec9a2270f18	660	FunFam	G3DSA:2.60.40.10:FF:000282	peroxidasin homolog	T	-	-	nan
D_pert_KAJ7333691.1	48	134	13.275547	d9fd790b6fafb2c84e4d8ec9a2270f18	660	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
D_pert_KAJ7333691.1	44	136	3.2E-21	d9fd790b6fafb2c84e4d8ec9a2270f18	660	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
D_pert_KAJ7333691.1	54	145	1.68E-24	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
D_pert_KAJ7333691.1	66	132	5.96675E-17	d9fd790b6fafb2c84e4d8ec9a2270f18	660	CDD	cd00096	Ig	T	-	-	nan
D_pert_KAJ7333691.1	55	136	1.4E-9	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
D_pert_KAJ7333691.1	145	226	6.0E-9	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
D_pert_KAJ7333691.1	237	318	4.2E-14	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
D_pert_KAJ7333691.1	139	224	14.600475	d9fd790b6fafb2c84e4d8ec9a2270f18	660	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
D_pert_KAJ7333691.1	7	47	1.42E-5	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
D_pert_KAJ7333691.1	135	226	2.79E-24	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
D_pert_KAJ7333691.1	231	316	15.181265	d9fd790b6fafb2c84e4d8ec9a2270f18	660	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
D_pert_KAJ7333691.1	229	318	5.3E-26	d9fd790b6fafb2c84e4d8ec9a2270f18	660	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
D_pert_KAJ7333714.1	6	187	5.44E-42	d50be9e20eb03bc72dba8a3998d30ef1	948	SUPERFAMILY	SSF52058	L domain-like	T	-	-	nan
D_pert_KAJ7333714.1	378	442	3.7E-14	d50be9e20eb03bc72dba8a3998d30ef1	948	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
