id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
S_cili_XP_065174926.1	901	923	0.0018	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF13202	EF hand	T	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	939	959	0.0077	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF13202	EF hand	T	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	1470	1633	6.72E-14	d5f15e749db5c3812475cdec6a44f33b	1641	SUPERFAMILY	SSF52343	Ferredoxin reductase-like, C-terminal NADP-linked domain	T	IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain	-
S_cili_XP_065174926.1	1042	1063	-	d5f15e749db5c3812475cdec6a44f33b	1641	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
S_cili_XP_065174926.1	1364	1641	3.12838E-49	d5f15e749db5c3812475cdec6a44f33b	1641	CDD	cd06186	NOX Duox like FAD NADP	T	-	-	nan
S_cili_XP_065174926.1	1358	1462	4.7E-35	d5f15e749db5c3812475cdec6a44f33b	1641	FunFam	G3DSA:2.40.30.10:FF:000059	dual oxidase isoform X1	T	-	-	nan
S_cili_XP_065174926.1	927	946	2.7E-6	d5f15e749db5c3812475cdec6a44f33b	1641	PRINTS	PR00450	Recoverin family signature	T	-	-	nan
S_cili_XP_065174926.1	903	924	2.7E-6	d5f15e749db5c3812475cdec6a44f33b	1641	PRINTS	PR00450	Recoverin family signature	T	-	-	nan
S_cili_XP_065174926.1	949	967	2.7E-6	d5f15e749db5c3812475cdec6a44f33b	1641	PRINTS	PR00450	Recoverin family signature	T	-	-	nan
S_cili_XP_065174926.1	1190	1321	4.1E-16	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF01794	Ferric reductase like transmembrane component	T	IPR013130	Ferric reductase transmembrane component-like domain	-
S_cili_XP_065174926.1	935	963	5.3E-4	d5f15e749db5c3812475cdec6a44f33b	1641	SMART	SM00054	efh 1	T	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	899	927	2.7E-4	d5f15e749db5c3812475cdec6a44f33b	1641	SMART	SM00054	efh 1	T	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	1463	1641	4.5E-84	d5f15e749db5c3812475cdec6a44f33b	1641	FunFam	G3DSA:3.40.50.80:FF:000020	Dual oxidase 1	T	-	-	nan
S_cili_XP_065174926.1	908	920	-	d5f15e749db5c3812475cdec6a44f33b	1641	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	T	IPR018247	EF-Hand 1, calcium-binding site	-
S_cili_XP_065174926.1	895	930	12.560727	d5f15e749db5c3812475cdec6a44f33b	1641	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	T	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	1355	1466	13.417132	d5f15e749db5c3812475cdec6a44f33b	1641	ProSiteProfiles	PS51384	Ferredoxin reductase-type FAD binding domain profile.	T	IPR017927	FAD-binding domain, ferredoxin reductase-type	GO:0016491
S_cili_XP_065174926.1	1470	1623	5.8E-29	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF08030	Ferric reductase NAD binding domain	T	IPR013121	Ferric reductase, NAD binding domain	GO:0016491
S_cili_XP_065174926.1	1462	1641	4.2E-52	d5f15e749db5c3812475cdec6a44f33b	1641	Gene3D	G3DSA:3.40.50.80	-	T	IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain	-
S_cili_XP_065174926.1	801	1008	2.0E-25	d5f15e749db5c3812475cdec6a44f33b	1641	Gene3D	G3DSA:1.10.238.10	-	T	-	-	nan
S_cili_XP_065174926.1	1363	1462	1.6E-15	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF08022	FAD-binding domain	T	IPR013112	FAD-binding 8	GO:0016491
S_cili_XP_065174926.1	882	1005	2.45E-24	d5f15e749db5c3812475cdec6a44f33b	1641	SUPERFAMILY	SSF47473	EF-hand	T	IPR011992	EF-hand domain pair	-
S_cili_XP_065174926.1	1188	1641	0.0	d5f15e749db5c3812475cdec6a44f33b	1641	SFLD	SFLDS00052	Ferric Reductase Domain	T	-	-	nan
S_cili_XP_065174926.1	900	960	9.01796E-15	d5f15e749db5c3812475cdec6a44f33b	1641	CDD	cd00051	EFh	T	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	898	1641	4.0E-140	d5f15e749db5c3812475cdec6a44f33b	1641	PANTHER	PTHR11972	NADPH OXIDASE	T	-	-	nan
S_cili_XP_065174926.1	1358	1463	6.41E-15	d5f15e749db5c3812475cdec6a44f33b	1641	SUPERFAMILY	SSF63380	Riboflavin synthase domain-like	T	IPR017938	Riboflavin synthase-like beta-barrel	-
S_cili_XP_065174926.1	931	966	12.923368	d5f15e749db5c3812475cdec6a44f33b	1641	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	T	IPR002048	EF-hand domain	GO:0005509
