id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	110	677	2.4E-164	T	28-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	125	676	8.48E-145	T	28-06-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	Pfam	PF03098	Animal haem peroxidase	126	651	4.4E-150	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	115	677	118.58252	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	110	677	1.7E-168	T	28-06-2024	-	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	CDD	cd09823	peroxinectin_like	273	640	9.55889E-147	T	28-06-2024	-	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	66	676	2.1E-179	T	28-06-2024	-	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	PRINTS	PR00457	Animal haem peroxidase signature	330	348	1.7E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	PRINTS	PR00457	Animal haem peroxidase signature	555	575	1.7E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	PRINTS	PR00457	Animal haem peroxidase signature	628	642	1.7E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	PRINTS	PR00457	Animal haem peroxidase signature	199	214	1.7E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	PRINTS	PR00457	Animal haem peroxidase signature	372	398	1.7E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	PRINTS	PR00457	Animal haem peroxidase signature	150	161	1.7E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286508.1	99685744fd043d28e3e08a70659a9482	677	PRINTS	PR00457	Animal haem peroxidase signature	432	442	1.7E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	115	657	113.645279	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	Pfam	PF03098	Animal haem peroxidase	126	651	4.0E-150	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	125	655	4.36E-140	T	28-06-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	PRINTS	PR00457	Animal haem peroxidase signature	555	575	1.4E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	PRINTS	PR00457	Animal haem peroxidase signature	628	642	1.4E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	PRINTS	PR00457	Animal haem peroxidase signature	432	442	1.4E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	PRINTS	PR00457	Animal haem peroxidase signature	372	398	1.4E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	PRINTS	PR00457	Animal haem peroxidase signature	330	348	1.4E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	PRINTS	PR00457	Animal haem peroxidase signature	199	214	1.4E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	PRINTS	PR00457	Animal haem peroxidase signature	150	161	1.4E-24	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	CDD	cd09823	peroxinectin_like	273	640	6.64927E-147	T	28-06-2024	-	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	110	657	7.1E-163	T	28-06-2024	-	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	66	655	6.4E-174	T	28-06-2024	-	-
C_virg_XP_022286509.1	eac8f463b83200341d227c812054d51d	657	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	110	657	8.5E-157	T	28-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	150	744	8.1E-160	T	28-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	152	730	8.4E-162	T	28-06-2024	-	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	Pfam	PF03098	Animal haem peroxidase	161	703	5.2E-150	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	155	705	3.3E-132	T	28-06-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PRINTS	PR00457	Animal haem peroxidase signature	687	701	1.4E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PRINTS	PR00457	Animal haem peroxidase signature	610	630	1.4E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PRINTS	PR00457	Animal haem peroxidase signature	396	416	1.4E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PRINTS	PR00457	Animal haem peroxidase signature	421	447	1.4E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PRINTS	PR00457	Animal haem peroxidase signature	237	252	1.4E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PRINTS	PR00457	Animal haem peroxidase signature	185	196	1.4E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PRINTS	PR00457	Animal haem peroxidase signature	481	491	1.4E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	PRINTS	PR00457	Animal haem peroxidase signature	378	396	1.4E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	148	746	1.0E-157	T	28-06-2024	-	-
C_virg_XP_022286941.1	753bb38fc0770a7ccbc6c1391d23469a	814	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	152	747	111.326279	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	84	671	1.4E-180	T	28-06-2024	-	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	CDD	cd09823	peroxinectin_like	268	635	3.74863E-145	T	28-06-2024	-	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	105	673	5.2E-170	T	28-06-2024	-	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	PRINTS	PR00457	Animal haem peroxidase signature	550	570	2.1E-27	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	PRINTS	PR00457	Animal haem peroxidase signature	367	393	2.1E-27	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	PRINTS	PR00457	Animal haem peroxidase signature	194	209	2.1E-27	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	PRINTS	PR00457	Animal haem peroxidase signature	325	343	2.1E-27	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	PRINTS	PR00457	Animal haem peroxidase signature	427	437	2.1E-27	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	PRINTS	PR00457	Animal haem peroxidase signature	145	156	2.1E-27	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	PRINTS	PR00457	Animal haem peroxidase signature	623	637	2.1E-27	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	MobiDBLite	mobidb-lite	consensus disorder prediction	157	181	-	T	28-06-2024	-	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	118	671	4.59E-146	T	28-06-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	102	674	8.6E-167	T	28-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	MobiDBLite	mobidb-lite	consensus disorder prediction	155	181	-	T	28-06-2024	-	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	Pfam	PF03098	Animal haem peroxidase	121	646	2.9E-155	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287047.1	7b3c5dd195e80b07879d3842e6da8362	706	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	110	674	124.473541	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	70	676	6.2E-179	T	28-06-2024	-	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	115	679	121.107246	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	CDD	cd09823	peroxinectin_like	273	640	7.03113E-146	T	28-06-2024	-	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	MobiDBLite	mobidb-lite	consensus disorder prediction	152	173	-	T	28-06-2024	-	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	110	677	1.8E-164	T	28-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	Pfam	PF03098	Animal haem peroxidase	126	651	1.6E-150	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	110	678	1.2E-168	T	28-06-2024	-	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	199	214	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	432	442	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	372	398	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	555	575	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	150	161	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	330	348	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	628	642	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287152.1	0250105e420c04e4db06a2f57691ac7d	682	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	125	676	2.47E-144	T	28-06-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	PANTHER	PTHR11475	OXIDASE/PEROXIDASE	70	676	6.2E-179	T	28-06-2024	-	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	115	679	121.107246	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	CDD	cd09823	peroxinectin_like	273	640	7.03113E-146	T	28-06-2024	-	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	MobiDBLite	mobidb-lite	consensus disorder prediction	152	173	-	T	28-06-2024	-	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	110	677	1.8E-164	T	28-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	Pfam	PF03098	Animal haem peroxidase	126	651	1.6E-150	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	FunFam	G3DSA:1.10.640.10:FF:000003	chorion peroxidase	110	678	1.2E-168	T	28-06-2024	-	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	199	214	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	432	442	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
C_virg_XP_022287153.1	0250105e420c04e4db06a2f57691ac7d	682	PRINTS	PR00457	Animal haem peroxidase signature	372	398	1.3E-25	T	28-06-2024	IPR019791	Haem peroxidase, animal-type	-
