id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
A_tumida_XP_019867920.2	1218	1316	5.6E-45	ab19938d2dae047c559f064407edbb98	1499	FunFam	G3DSA:2.40.30.10:FF:000059	dual oxidase isoform X1	T	-	-	nan
A_tumida_XP_019867920.2	1215	1320	12.597133	ab19938d2dae047c559f064407edbb98	1499	ProSiteProfiles	PS51384	Ferredoxin reductase-type FAD binding domain profile.	T	IPR017927	FAD-binding domain, ferredoxin reductase-type	GO:0016491
A_tumida_XP_019867920.2	1226	1404	9.3048E-45	ab19938d2dae047c559f064407edbb98	1499	CDD	cd06186	NOX Duox like FAD NADP	T	-	-	nan
A_tumida_XP_019867920.2	1217	1316	2.5E-8	ab19938d2dae047c559f064407edbb98	1499	Gene3D	G3DSA:2.40.30.10	Translation factors	T	-	-	nan
A_tumida_XP_019867920.2	858	885	5.0E-6	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF00036	EF hand	T	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	822	844	2.5E-7	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF00036	EF hand	T	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	787	935	8.0E-29	ab19938d2dae047c559f064407edbb98	1499	Gene3D	G3DSA:1.10.238.10	-	T	-	-	nan
A_tumida_XP_019867920.2	857	928	5.55655E-6	ab19938d2dae047c559f064407edbb98	1499	CDD	cd00051	EFh	T	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	866	878	-	ab19938d2dae047c559f064407edbb98	1499	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	T	IPR018247	EF-Hand 1, calcium-binding site	-
A_tumida_XP_019867920.2	1317	1498	1.5E-109	ab19938d2dae047c559f064407edbb98	1499	FunFam	G3DSA:3.40.50.80:FF:000020	Dual oxidase 1	T	-	-	nan
A_tumida_XP_019867920.2	857	885	3.8E-5	ab19938d2dae047c559f064407edbb98	1499	SMART	SM00054	efh 1	T	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	821	849	3.2E-6	ab19938d2dae047c559f064407edbb98	1499	SMART	SM00054	efh 1	T	IPR002048	EF-hand domain	GO:0005509
A_tumida_XP_019867920.2	1324	1479	6.8E-25	ab19938d2dae047c559f064407edbb98	1499	Pfam	PF08030	Ferric reductase NAD binding domain	T	IPR013121	Ferric reductase, NAD binding domain	GO:0016491
A_tumida_XP_019867920.2	830	842	-	ab19938d2dae047c559f064407edbb98	1499	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	T	IPR018247	EF-Hand 1, calcium-binding site	-
