id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF13202	EF hand	901	923	0.0018	T	19-06-2024	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF13202	EF hand	939	959	0.0077	T	19-06-2024	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	SUPERFAMILY	SSF52343	Ferredoxin reductase-like, C-terminal NADP-linked domain	1470	1633	6.72E-14	T	19-06-2024	IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	MobiDBLite	mobidb-lite	consensus disorder prediction	1042	1063	-	T	19-06-2024	-	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	CDD	cd06186	NOX_Duox_like_FAD_NADP	1364	1641	3.12838E-49	T	19-06-2024	-	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	FunFam	G3DSA:2.40.30.10:FF:000059	dual oxidase isoform X1	1358	1462	4.7E-35	T	19-06-2024	-	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Gene3D	G3DSA:1.10.640.10	Haem peroxidase domain superfamily, animal type	24	623	1.1E-141	T	19-06-2024	IPR037120	Haem peroxidase domain superfamily, animal type	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	PRINTS	PR00450	Recoverin family signature	927	946	2.7E-6	T	19-06-2024	-	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	PRINTS	PR00450	Recoverin family signature	903	924	2.7E-6	T	19-06-2024	-	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	PRINTS	PR00450	Recoverin family signature	949	967	2.7E-6	T	19-06-2024	-	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF01794	Ferric reductase like transmembrane component	1190	1321	4.1E-16	T	19-06-2024	IPR013130	Ferric reductase transmembrane component-like domain	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	SMART	SM00054	efh_1	935	963	5.3E-4	T	19-06-2024	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	SMART	SM00054	efh_1	899	927	2.7E-4	T	19-06-2024	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	FunFam	G3DSA:3.40.50.80:FF:000020	Dual oxidase 1	1463	1641	4.5E-84	T	19-06-2024	-	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	908	920	-	T	19-06-2024	IPR018247	EF-Hand 1, calcium-binding site	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF03098	Animal haem peroxidase	41	591	2.0E-137	T	19-06-2024	IPR019791	Haem peroxidase, animal-type	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	895	930	12.560727	T	19-06-2024	IPR002048	EF-hand domain	GO:0005509
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	ProSiteProfiles	PS51384	Ferredoxin reductase-type FAD binding domain profile.	1355	1466	13.417132	T	19-06-2024	IPR017927	FAD-binding domain, ferredoxin reductase-type	GO:0016491
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF08030	Ferric reductase NAD binding domain	1470	1623	5.8E-29	T	19-06-2024	IPR013121	Ferric reductase, NAD binding domain	GO:0016491
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Gene3D	G3DSA:3.40.50.80	-	1462	1641	4.2E-52	T	19-06-2024	IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Gene3D	G3DSA:1.10.238.10	-	801	1008	2.0E-25	T	19-06-2024	-	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	Pfam	PF08022	FAD-binding domain	1363	1462	1.6E-15	T	19-06-2024	IPR013112	FAD-binding 8	GO:0016491
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	SUPERFAMILY	SSF47473	EF-hand	882	1005	2.45E-24	T	19-06-2024	IPR011992	EF-hand domain pair	-
S_cili_XP_065174926.1	d5f15e749db5c3812475cdec6a44f33b	1641	ProSiteProfiles	PS50292	Animal heme peroxidase superfamily profile.	30	646	86.546577	T	19-06-2024	IPR019791	Haem peroxidase, animal-type	-
