id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
A_mill_XP_029185415.2	642	664	-	ab2252675d495850da97b80d533fe86a	664	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
A_mill_XP_029192681.2	521	606	15.380911	14c43845cf2fd52eeeaea3734d058a4f	1480	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
A_mill_XP_029192681.2	48	246	1.77E-39	14c43845cf2fd52eeeaea3734d058a4f	1480	SUPERFAMILY	SSF52058	L domain-like	T	-	-	nan
A_mill_XP_029192681.2	135	156	7.172906	14c43845cf2fd52eeeaea3734d058a4f	1480	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	T	IPR001611	Leucine-rich repeat	GO:0005515
A_mill_XP_029192681.2	519	612	1.7E-29	14c43845cf2fd52eeeaea3734d058a4f	1480	FunFam	G3DSA:2.60.40.10:FF:000248	peroxidasin homolog	T	-	-	nan
A_mill_XP_029192681.2	428	502	1.0E-16	14c43845cf2fd52eeeaea3734d058a4f	1480	Pfam	PF13927	Immunoglobulin domain	T	-	-	nan
A_mill_XP_029192681.2	428	516	2.4E-22	14c43845cf2fd52eeeaea3734d058a4f	1480	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
A_mill_XP_029192681.2	243	333	3.4E-20	14c43845cf2fd52eeeaea3734d058a4f	1480	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
A_mill_XP_029192681.2	334	427	2.8E-20	14c43845cf2fd52eeeaea3734d058a4f	1480	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	T	IPR013783	Immunoglobulin-like fold	-
A_mill_XP_029192681.2	338	424	14.128582	14c43845cf2fd52eeeaea3734d058a4f	1480	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
A_mill_XP_029192681.2	342	435	5.57E-25	14c43845cf2fd52eeeaea3734d058a4f	1480	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
A_mill_XP_029192681.2	29	242	3.4E-56	14c43845cf2fd52eeeaea3734d058a4f	1480	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	T	IPR032675	Leucine-rich repeat domain superfamily	-
A_mill_XP_029192681.2	244	333	7.29E-20	14c43845cf2fd52eeeaea3734d058a4f	1480	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
A_mill_XP_029192681.2	87	146	1.0E-16	14c43845cf2fd52eeeaea3734d058a4f	1480	Pfam	PF13855	Leucine rich repeat	T	IPR001611	Leucine-rich repeat	GO:0005515
A_mill_XP_029192681.2	429	514	14.291929	14c43845cf2fd52eeeaea3734d058a4f	1480	ProSiteProfiles	PS50835	Ig-like domain profile.	T	IPR007110	Immunoglobulin-like domain	-
A_mill_XP_029192681.2	111	132	7.041994	14c43845cf2fd52eeeaea3734d058a4f	1480	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	T	IPR001611	Leucine-rich repeat	GO:0005515
A_mill_XP_029192681.2	338	426	7.8E-18	14c43845cf2fd52eeeaea3734d058a4f	1480	FunFam	G3DSA:2.60.40.10:FF:000189	Neogenin isoform 3	T	-	-	nan
A_mill_XP_029192681.2	244	332	1.3E-16	14c43845cf2fd52eeeaea3734d058a4f	1480	FunFam	G3DSA:2.60.40.10:FF:000005	Neuronal cell adhesion molecule	T	-	-	nan
A_mill_XP_029192681.2	425	516	2.79E-23	14c43845cf2fd52eeeaea3734d058a4f	1480	SUPERFAMILY	SSF48726	Immunoglobulin	T	IPR036179	Immunoglobulin-like domain superfamily	-
A_mill_XP_029192681.2	250	332	1.6E-5	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
A_mill_XP_029192681.2	527	608	6.7E-14	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
A_mill_XP_029192681.2	435	516	1.2E-11	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
A_mill_XP_029192681.2	345	426	4.0E-12	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00409	IG 3c	T	IPR003599	Immunoglobulin subtype	-
A_mill_XP_029192681.2	427	518	1.0E-20	14c43845cf2fd52eeeaea3734d058a4f	1480	FunFam	G3DSA:2.60.40.10:FF:000273	contactin-3 isoform X1	T	-	-	nan
A_mill_XP_029192681.2	356	422	2.69168E-16	14c43845cf2fd52eeeaea3734d058a4f	1480	CDD	cd00096	Ig	T	-	-	nan
A_mill_XP_029192681.2	182	205	320.0	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
A_mill_XP_029192681.2	157	181	1.2	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
A_mill_XP_029192681.2	109	132	0.0024	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
A_mill_XP_029192681.2	133	156	0.0057	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
A_mill_XP_029192681.2	85	108	0.022	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00369	LRR typ 2	T	IPR003591	Leucine-rich repeat, typical subtype	-
A_mill_XP_029192681.2	257	321	3.4E-14	14c43845cf2fd52eeeaea3734d058a4f	1480	SMART	SM00408	igc2 5	T	IPR003598	Immunoglobulin subtype 2	-
