id	md5	length	analysis	sig_acc	sig_desc	start	end	score	status	 date	ipr_acc	ipr_desc	goterm
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	FunFam	G3DSA:2.60.40.10:FF:000005	Neuronal cell adhesion molecule	243	331	1.0E-16	T	15-07-2024	-	-
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	SUPERFAMILY	SSF48726	Immunoglobulin	341	434	2.79E-25	T	15-07-2024	IPR036179	Immunoglobulin-like domain superfamily	-
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	CDD	cd00096	Ig	355	421	1.27912E-16	T	15-07-2024	-	-
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	Pfam	PF03098	Animal haem peroxidase	737	768	3.7E-8	T	15-07-2024	IPR019791	Haem peroxidase, animal-type	-
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	29	241	3.4E-58	T	15-07-2024	IPR032675	Leucine-rich repeat domain superfamily	-
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	FunFam	G3DSA:2.60.40.10:FF:000273	contactin-3 isoform X1	426	517	2.2E-20	T	15-07-2024	-	-
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	ProSiteProfiles	PS50835	Ig-like domain profile.	520	605	15.380911	T	15-07-2024	IPR007110	Immunoglobulin-like domain	-
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	SUPERFAMILY	SSF48113	Heme-dependent peroxidases	731	768	2.97E-10	T	15-07-2024	IPR010255	Haem peroxidase superfamily	GO:0004601|GO:0006979|GO:0020037
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	ProSiteProfiles	PS50835	Ig-like domain profile.	243	329	13.529642	T	15-07-2024	IPR007110	Immunoglobulin-like domain	-
adig_s0002.g328.t1	f0dfd7cfcc8551ea94e715e3d0ec309e	792	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	426	514	3.8E-22	T	15-07-2024	IPR013783	Immunoglobulin-like fold	-
